,precision,recall,f1-score,support
0,0.9242424242424242,0.8133333333333334,0.8652482269503546,75.0
1,0.5882352941176471,0.8,0.6779661016949152,25.0
accuracy,0.81,0.81,0.81,0.81
macro avg,0.7562388591800356,0.8066666666666666,0.771607164322635,100.0
weighted avg,0.8402406417112299,0.81,0.8184276956364949,100.0
