,precision,recall,f1-score,support
0,0.926,0.84,0.881,75.0
1,0.625,0.8,0.702,25.0
accuracy,0.83,0.83,0.83,0.83
macro avg,0.776,0.82,0.791,100.0
weighted avg,0.851,0.83,0.836,100.0
