,precision,recall,f1-score,support
0,0.9,0.24,0.37894736842105264,75.0
1,0.2875,0.92,0.4380952380952381,25.0
accuracy,0.41,0.41,0.41,0.41
macro avg,0.59375,0.5800000000000001,0.4085213032581454,100.0
weighted avg,0.746875,0.41,0.393734335839599,100.0
