,precision,recall,f1-score,support
0,0.7717391304347826,0.9466666666666667,0.8502994011976048,75.0
1,0.5,0.16,0.24242424242424243,25.0
accuracy,0.75,0.75,0.75,0.75
macro avg,0.6358695652173914,0.5533333333333333,0.5463618218109236,100.0
weighted avg,0.7038043478260869,0.75,0.6983306115042641,100.0
