Feature,Importance_mean,Importance_std
incident_severity,0.3462543002506908,0.03718230693306431
authorities_contacted,0.0432357133494482,0.048191940912977536
property_share,0.01879006880080226,0.01937959472354405
total_claim_amount,0.013456905640192229,0.026147934709080813
collision_type,0.008955551885144042,0.036581897825462596
vehicle_share,0.008802478013583626,0.016620778690887794
policy_deductable,0.0074607247143623654,0.018110937280742798
claim_to_premium,0.006468426398545035,0.02816073458790755
claim_to_deductible,0.0017494587626140535,0.022301154746257205
injury_share,0.00018866609131412693,0.013578358594200302
incident_type,-0.00041170450556761163,0.028203707972996456
months_as_customer,-0.0009858301399922498,0.019548719075516228
has_umbrella_policy,-0.0038986229836471377,0.0031595357577071624
policy_annual_premium,-0.003991721877139897,0.013774261620122382
umbrella_limit,-0.006880449862315241,0.010601571929971267
property_damage,-0.02672148316379398,0.025044088067379976
