,precision,recall,f1-score,support
0,0.9152542372881356,0.72,0.8059701492537313,75.0
1,0.4878048780487805,0.8,0.6060606060606061,25.0
accuracy,0.74,0.74,0.74,0.74
macro avg,0.701529557668458,0.76,0.7060153776571687,100.0
weighted avg,0.8083918974782969,0.74,0.7559927634554501,100.0
